TIME,GEO,FORD,SEX,PROF_POS,SECTPERF,VALUE
2009,AT,FORD5,F,RSE,HES,2438
2011,AT,FORD5,F,RSE,HES,3030
2013,AT,FORD5,F,RSE,HES,3251
2015,AT,FORD5,F,RSE,HES,3604
2017,AT,FORD5,F,RSE,HES,3764
2019,AT,FORD5,F,RSE,HES,4531
2021,AT,FORD5,F,RSE,HES,4856
2000,PL,FORD5,F,RSE,HES,5580
2004,PL,FORD5,F,RSE,HES,7735
2005,PL,FORD5,F,RSE,HES,8005
2006,PL,FORD5,F,RSE,HES,7643
2007,PL,FORD5,F,RSE,HES,6940
2008,PL,FORD5,F,RSE,HES,6334
2010,PL,FORD5,F,RSE,HES,7284
2011,PL,FORD5,F,RSE,HES,7517
2012,PL,FORD5,F,RSE,HES,7519
2013,PL,FORD5,F,RSE,HES,8208
2014,PL,FORD5,F,RSE,HES,8031
2015,PL,FORD5,F,RSE,HES,7913
2016,PL,FORD5,F,RSE,HES,8288
2017,PL,FORD5,F,RSE,HES,11568
2018,PL,FORD5,F,RSE,HES,10721
2019,PL,FORD5,F,RSE,HES,10224
2020,PL,FORD5,F,RSE,HES,9766
2021,PL,FORD5,F,RSE,HES,10004
2022,PL,FORD5,F,RSE,HES,10628
2000,PT,FORD5,F,RSE,HES,1938
2001,PT,FORD5,F,RSE,HES,2024
2002,PT,FORD5,F,RSE,HES,2314
2003,PT,FORD5,F,RSE,HES,2222
2004,PT,FORD5,F,RSE,HES,2323
2005,PT,FORD5,F,RSE,HES,2423
2006,PT,FORD5,F,RSE,HES,2761
2007,PT,FORD5,F,RSE,HES,3098
2008,PT,FORD5,F,RSE,HES,6319
2009,PT,FORD5,F,RSE,HES,6671
2010,PT,FORD5,F,RSE,HES,6441
2011,PT,FORD5,F,RSE,HES,5995
2012,PT,FORD5,F,RSE,HES,6758
2013,PT,FORD5,F,RSE,HES,6851
2014,PT,FORD5,F,RSE,HES,6703
2015,PT,FORD5,F,RSE,HES,6818
2016,PT,FORD5,F,RSE,HES,7019
2017,PT,FORD5,F,RSE,HES,7266
2018,PT,FORD5,F,RSE,HES,7709
2019,PT,FORD5,F,RSE,HES,7828
2020,PT,FORD5,F,RSE,HES,7497
2021,PT,FORD5,F,RSE,HES,7527
2022,PT,FORD5,F,RSE,HES,7732
2002,RO,FORD5,F,RSE,HES,643
2003,RO,FORD5,F,RSE,HES,637
2004,RO,FORD5,F,RSE,HES,612
2005,RO,FORD5,F,RSE,HES,705
2006,RO,FORD5,F,RSE,HES,1951
2007,RO,FORD5,F,RSE,HES,1483
2008,RO,FORD5,F,RSE,HES,2150
2009,RO,FORD5,F,RSE,HES,2132
2010,RO,FORD5,F,RSE,HES,2389
2011,RO,FORD5,F,RSE,HES,1928
2012,RO,FORD5,F,RSE,HES,1845
2013,RO,FORD5,F,RSE,HES,947
2014,RO,FORD5,F,RSE,HES,1780
2015,RO,FORD5,F,RSE,HES,1505
2016,RO,FORD5,F,RSE,HES,856
2017,RO,FORD5,F,RSE,HES,407
2018,RO,FORD5,F,RSE,HES,715
2019,RO,FORD5,F,RSE,HES,548
2020,RO,FORD5,F,RSE,HES,914
2021,RO,FORD5,F,RSE,HES,638
2022,RO,FORD5,F,RSE,HES,532
2001,SI,FORD5,F,RSE,HES,329
2002,SI,FORD5,F,RSE,HES,345
2003,SI,FORD5,F,RSE,HES,131
2004,SI,FORD5,F,RSE,HES,119
2005,SI,FORD5,F,RSE,HES,214
2006,SI,FORD5,F,RSE,HES,197
2007,SI,FORD5,F,RSE,HES,258
2008,SI,FORD5,F,RSE,HES,272
2009,SI,FORD5,F,RSE,HES,292
2010,SI,FORD5,F,RSE,HES,336
2011,SI,FORD5,F,RSE,HES,332
2012,SI,FORD5,F,RSE,HES,332
2013,SI,FORD5,F,RSE,HES,335
2015,SI,FORD5,F,RSE,HES,347
2016,SI,FORD5,F,RSE,HES,348
2017,SI,FORD5,F,RSE,HES,436
2018,SI,FORD5,F,RSE,HES,478
2019,SI,FORD5,F,RSE,HES,488
2020,SI,FORD5,F,RSE,HES,540
2021,SI,FORD5,F,RSE,HES,502
2022,SI,FORD5,F,RSE,HES,503
2002,SK,FORD5,F,RSE,HES,916
2003,SK,FORD5,F,RSE,HES,1103
2004,SK,FORD5,F,RSE,HES,1438
2005,SK,FORD5,F,RSE,HES,1492
2006,SK,FORD5,F,RSE,HES,1796
2007,SK,FORD5,F,RSE,HES,2023
2008,SK,FORD5,F,RSE,HES,2081
2009,SK,FORD5,F,RSE,HES,2023
2010,SK,FORD5,F,RSE,HES,2223
2011,SK,FORD5,F,RSE,HES,2300
2012,SK,FORD5,F,RSE,HES,2117
2013,SK,FORD5,F,RSE,HES,2398
2014,SK,FORD5,F,RSE,HES,2202
2015,SK,FORD5,F,RSE,HES,2087
2016,SK,FORD5,F,RSE,HES,2287
2017,SK,FORD5,F,RSE,HES,2340
2018,SK,FORD5,F,RSE,HES,2391
2019,SK,FORD5,F,RSE,HES,2364
2020,SK,FORD5,F,RSE,HES,2356
2021,SK,FORD5,F,RSE,HES,2286
2022,SK,FORD5,F,RSE,HES,2250
2007,FI,FORD5,F,RSE,HES,2662
2011,FI,FORD5,F,RSE,HES,3397
2012,FI,FORD5,F,RSE,HES,3296
2013,FI,FORD5,F,RSE,HES,3208
2014,FI,FORD5,F,RSE,HES,3280
2015,FI,FORD5,F,RSE,HES,3517
2016,FI,FORD5,F,RSE,HES,3519
2017,FI,FORD5,F,RSE,HES,3611
2018,FI,FORD5,F,RSE,HES,3783
2019,FI,FORD5,F,RSE,HES,4176
2020,FI,FORD5,F,RSE,HES,4177
2021,FI,FORD5,F,RSE,HES,4097
2022,FI,FORD5,F,RSE,HES,4439
2001,SE,FORD5,F,RSE,HES,2475
2003,SE,FORD5,F,RSE,HES,2579
2013,SE,FORD5,F,RSE,HES,5199
2015,SE,FORD5,F,RSE,HES,5487
2017,SE,FORD5,F,RSE,HES,4012
2019,SE,FORD5,F,RSE,HES,4319
2021,SE,FORD5,F,RSE,HES,5105
2011,IS,FORD5,F,RSE,HES,142
2013,IS,FORD5,F,RSE,HES,260
2017,IS,FORD5,F,RSE,HES,314
2018,IS,FORD5,F,RSE,HES,305
2021,IS,FORD5,F,RSE,HES,378
2022,IS,FORD5,F,RSE,HES,366
2001,NO,FORD5,F,RSE,HES,1478
2003,NO,FORD5,F,RSE,HES,1673
2005,NO,FORD5,F,RSE,HES,1925
2007,NO,FORD5,F,RSE,HES,2261
2008,NO,FORD5,F,RSE,HES,2463
2009,NO,FORD5,F,RSE,HES,2453
2010,NO,FORD5,F,RSE,HES,2620
2011,NO,FORD5,F,RSE,HES,2750
2012,NO,FORD5,F,RSE,HES,2851
2013,NO,FORD5,F,RSE,HES,3032
2014,NO,FORD5,F,RSE,HES,3254
2015,NO,FORD5,F,RSE,HES,3637
2017,NO,FORD5,F,RSE,HES,4376
2018,NO,FORD5,F,RSE,HES,4511
2019,NO,FORD5,F,RSE,HES,4769
2020,NO,FORD5,F,RSE,HES,4934
2021,NO,FORD5,F,RSE,HES,5426
2022,NO,FORD5,F,RSE,HES,5607
2012,CH,FORD5,F,RSE,HES,4423
2015,CH,FORD5,F,RSE,HES,5262
2017,CH,FORD5,F,RSE,HES,5549
2019,CH,FORD5,F,RSE,HES,6182
2021,CH,FORD5,F,RSE,HES,6521
2022,CH,FORD5,F,RSE,HES,6761
2007,UK,FORD5,F,RSE,HES,19999
2009,UK,FORD5,F,RSE,HES,19019
2010,UK,FORD5,F,RSE,HES,19654
2011,UK,FORD5,F,RSE,HES,20857
2012,UK,FORD5,F,RSE,HES,21459
2013,UK,FORD5,F,RSE,HES,25658
2017,UK,FORD5,F,RSE,HES,28868
2012,BA,FORD5,F,RSE,HES,20
2013,BA,FORD5,F,RSE,HES,66
2014,BA,FORD5,F,RSE,HES,383
2019,BA,FORD5,F,RSE,HES,247
2020,BA,FORD5,F,RSE,HES,182
2011,ME,FORD5,F,RSE,HES,125
2013,ME,FORD5,F,RSE,HES,101
2014,ME,FORD5,F,RSE,HES,114
2015,ME,FORD5,F,RSE,HES,114
2017,ME,FORD5,F,RSE,HES,143
2018,ME,FORD5,F,RSE,HES,132
2019,ME,FORD5,F,RSE,HES,151
2005,MK,FORD5,F,RSE,HES,25
2006,MK,FORD5,F,RSE,HES,9
2007,MK,FORD5,F,RSE,HES,57
2008,MK,FORD5,F,RSE,HES,44
2009,MK,FORD5,F,RSE,HES,52
2010,MK,FORD5,F,RSE,HES,68
2011,MK,FORD5,F,RSE,HES,145
2012,MK,FORD5,F,RSE,HES,149
2015,MK,FORD5,F,RSE,HES,389
2016,MK,FORD5,F,RSE,HES,287
2017,MK,FORD5,F,RSE,HES,288
2018,MK,FORD5,F,RSE,HES,256
2019,MK,FORD5,F,RSE,HES,468
2020,MK,FORD5,F,RSE,HES,328
2022,MK,FORD5,F,RSE,HES,299
2008,RS,FORD5,F,RSE,HES,800
2009,RS,FORD5,F,RSE,HES,1024
2010,RS,FORD5,F,RSE,HES,984
2011,RS,FORD5,F,RSE,HES,1064
2012,RS,FORD5,F,RSE,HES,1039
2013,RS,FORD5,F,RSE,HES,1166
2014,RS,FORD5,F,RSE,HES,1367
2015,RS,FORD5,F,RSE,HES,1401
2016,RS,FORD5,F,RSE,HES,1250
2017,RS,FORD5,F,RSE,HES,1329
2018,RS,FORD5,F,RSE,HES,1305
2019,RS,FORD5,F,RSE,HES,1214
2020,RS,FORD5,F,RSE,HES,1235
2021,RS,FORD5,F,RSE,HES,1297
2022,RS,FORD5,F,RSE,HES,1264
2003,TR,FORD5,F,RSE,HES,5115
2004,TR,FORD5,F,RSE,HES,5463
2005,TR,FORD5,F,RSE,HES,5686
2006,TR,FORD5,F,RSE,HES,6053
2007,TR,FORD5,F,RSE,HES,6855
2008,TR,FORD5,F,RSE,HES,7104
2009,TR,FORD5,F,RSE,HES,7626
2010,TR,FORD5,F,RSE,HES,8335
2011,TR,FORD5,F,RSE,HES,9816
2012,TR,FORD5,F,RSE,HES,10740
2013,TR,FORD5,F,RSE,HES,12662
2014,TR,FORD5,F,RSE,HES,14058
2015,TR,FORD5,F,RSE,HES,11999
2016,TR,FORD5,F,RSE,HES,12881
2017,TR,FORD5,F,RSE,HES,12977
2018,TR,FORD5,F,RSE,HES,13048
2019,TR,FORD5,F,RSE,HES,13536
2020,TR,FORD5,F,RSE,HES,14300
2021,TR,FORD5,F,RSE,HES,14769
2022,TR,FORD5,F,RSE,HES,15644
2000,RU,FORD5,F,RSE,HES,1042
2001,RU,FORD5,F,RSE,HES,1040
2002,RU,FORD5,F,RSE,HES,1081
2003,RU,FORD5,F,RSE,HES,1018
2004,RU,FORD5,F,RSE,HES,1364
2005,RU,FORD5,F,RSE,HES,1345
2006,RU,FORD5,F,RSE,HES,1775
2007,RU,FORD5,F,RSE,HES,2428
2008,RU,FORD5,F,RSE,HES,2296
2009,RU,FORD5,F,RSE,HES,2450
2010,RU,FORD5,F,RSE,HES,3265
2011,RU,FORD5,F,RSE,HES,4698
2012,RU,FORD5,F,RSE,HES,4954
2013,RU,FORD5,F,RSE,HES,5507
2014,RU,FORD5,F,RSE,HES,5711
2015,RU,FORD5,F,RSE,HES,6732
2017,RU,FORD5,F,RSE,HES,6211
2018,RU,FORD5,F,RSE,HES,6532
2019,RU,FORD5,F,RSE,HES,7046
2004,BE,FORD6,F,RSE,HES,1030
2005,BE,FORD6,F,RSE,HES,1051
2006,BE,FORD6,F,RSE,HES,1070
2007,BE,FORD6,F,RSE,HES,1167
2008,BE,FORD6,F,RSE,HES,1281
2009,BE,FORD6,F,RSE,HES,1425
2010,BE,FORD6,F,RSE,HES,1442
2011,BE,FORD6,F,RSE,HES,1458
2012,BE,FORD6,F,RSE,HES,1592
2013,BE,FORD6,F,RSE,HES,1585
2014,BE,FORD6,F,RSE,HES,1620
2015,BE,FORD6,F,RSE,HES,1462
2016,BE,FORD6,F,RSE,HES,1613
2017,BE,FORD6,F,RSE,HES,1667
2018,BE,FORD6,F,RSE,HES,1709
2019,BE,FORD6,F,RSE,HES,1674
2020,BE,FORD6,F,RSE,HES,1508
2021,BE,FORD6,F,RSE,HES,1604
2000,BG,FORD6,F,RSE,HES,42
2001,BG,FORD6,F,RSE,HES,105
2002,BG,FORD6,F,RSE,HES,129
2003,BG,FORD6,F,RSE,HES,109
2004,BG,FORD6,F,RSE,HES,96
2005,BG,FORD6,F,RSE,HES,100
2006,BG,FORD6,F,RSE,HES,139
2007,BG,FORD6,F,RSE,HES,194
2008,BG,FORD6,F,RSE,HES,226
2009,BG,FORD6,F,RSE,HES,324
2010,BG,FORD6,F,RSE,HES,411
2011,BG,FORD6,F,RSE,HES,574
2012,BG,FORD6,F,RSE,HES,515
2013,BG,FORD6,F,RSE,HES,533
2014,BG,FORD6,F,RSE,HES,534
2015,BG,FORD6,F,RSE,HES,559
2017,BG,FORD6,F,RSE,HES,613
2018,BG,FORD6,F,RSE,HES,615
2019,BG,FORD6,F,RSE,HES,519
2021,BG,FORD6,F,RSE,HES,517
2022,BG,FORD6,F,RSE,HES,512
2000,CZ,FORD6,F,RSE,HES,424
2001,CZ,FORD6,F,RSE,HES,935
2002,CZ,FORD6,F,RSE,HES,209
2003,CZ,FORD6,F,RSE,HES,300
2004,CZ,FORD6,F,RSE,HES,321
2005,CZ,FORD6,F,RSE,HES,459
2006,CZ,FORD6,F,RSE,HES,554
2007,CZ,FORD6,F,RSE,HES,598
2008,CZ,FORD6,F,RSE,HES,591
2009,CZ,FORD6,F,RSE,HES,851
2010,CZ,FORD6,F,RSE,HES,1077
2011,CZ,FORD6,F,RSE,HES,664
2012,CZ,FORD6,F,RSE,HES,972
2013,CZ,FORD6,F,RSE,HES,737
2014,CZ,FORD6,F,RSE,HES,752
2015,CZ,FORD6,F,RSE,HES,923
2016,CZ,FORD6,F,RSE,HES,886
2017,CZ,FORD6,F,RSE,HES,886
2018,CZ,FORD6,F,RSE,HES,912
2019,CZ,FORD6,F,RSE,HES,976
2020,CZ,FORD6,F,RSE,HES,879
2021,CZ,FORD6,F,RSE,HES,894
2022,CZ,FORD6,F,RSE,HES,881
2000,DK,FORD6,F,RSE,HES,930
2003,DK,FORD6,F,RSE,HES,1069
2004,DK,FORD6,F,RSE,HES,1218
2005,DK,FORD6,F,RSE,HES,1464
2006,DK,FORD6,F,RSE,HES,688
2007,DK,FORD6,F,RSE,HES,665
2009,DK,FORD6,F,RSE,HES,1253
2010,DK,FORD6,F,RSE,HES,1295
2011,DK,FORD6,F,RSE,HES,1091
2012,DK,FORD6,F,RSE,HES,1240
2013,DK,FORD6,F,RSE,HES,1067
2014,DK,FORD6,F,RSE,HES,972
2015,DK,FORD6,F,RSE,HES,1089
2016,DK,FORD6,F,RSE,HES,1059
2017,DK,FORD6,F,RSE,HES,1133
2018,DK,FORD6,F,RSE,HES,1005
2019,DK,FORD6,F,RSE,HES,1030
2003,DE,FORD6,F,RSE,HES,9412
2004,DE,FORD6,F,RSE,HES,9556
2005,DE,FORD6,F,RSE,HES,10790
2006,DE,FORD6,F,RSE,HES,13761
2007,DE,FORD6,F,RSE,HES,14900
2008,DE,FORD6,F,RSE,HES,16396
2009,DE,FORD6,F,RSE,HES,18012
2010,DE,FORD6,F,RSE,HES,19592
2011,DE,FORD6,F,RSE,HES,20951
2012,DE,FORD6,F,RSE,HES,22402
2013,DE,FORD6,F,RSE,HES,23925
2014,DE,FORD6,F,RSE,HES,24735
2015,DE,FORD6,F,RSE,HES,18742
2016,DE,FORD6,F,RSE,HES,18732
2017,DE,FORD6,F,RSE,HES,18989
2018,DE,FORD6,F,RSE,HES,19332
2019,DE,FORD6,F,RSE,HES,19118
2020,DE,FORD6,F,RSE,HES,19188
2021,DE,FORD6,F,RSE,HES,19856
2001,EE,FORD6,F,RSE,HES,318
2002,EE,FORD6,F,RSE,HES,344
2003,EE,FORD6,F,RSE,HES,388
2004,EE,FORD6,F,RSE,HES,358
2005,EE,FORD6,F,RSE,HES,305
2006,EE,FORD6,F,RSE,HES,382
2007,EE,FORD6,F,RSE,HES,516
2008,EE,FORD6,F,RSE,HES,464
2009,EE,FORD6,F,RSE,HES,449
2010,EE,FORD6,F,RSE,HES,502
2011,EE,FORD6,F,RSE,HES,483
2012,EE,FORD6,F,RSE,HES,453
2013,EE,FORD6,F,RSE,HES,474
2014,EE,FORD6,F,RSE,HES,436
2015,EE,FORD6,F,RSE,HES,434
2016,EE,FORD6,F,RSE,HES,419
2017,EE,FORD6,F,RSE,HES,382
2018,EE,FORD6,F,RSE,HES,394
2019,EE,FORD6,F,RSE,HES,408
2020,EE,FORD6,F,RSE,HES,445
2021,EE,FORD6,F,RSE,HES,456
2022,EE,FORD6,F,RSE,HES,497
2002,IE,FORD6,F,RSE,HES,490
2003,IE,FORD6,F,RSE,HES,506
2004,IE,FORD6,F,RSE,HES,542
2005,IE,FORD6,F,RSE,HES,550
2006,IE,FORD6,F,RSE,HES,670
2007,IE,FORD6,F,RSE,HES,700
2008,IE,FORD6,F,RSE,HES,774
2009,IE,FORD6,F,RSE,HES,775
2010,IE,FORD6,F,RSE,HES,743
2011,IE,FORD6,F,RSE,HES,663
2012,IE,FORD6,F,RSE,HES,582
2013,IE,FORD6,F,RSE,HES,592
2014,IE,FORD6,F,RSE,HES,925
2015,IE,FORD6,F,RSE,HES,937
2017,IE,FORD6,F,RSE,HES,899
2019,IE,FORD6,F,RSE,HES,1082
2021,IE,FORD6,F,RSE,HES,1115
2011,EL,FORD6,F,RSE,HES,1695
2013,EL,FORD6,F,RSE,HES,2879
2015,EL,FORD6,F,RSE,HES,2370
2017,EL,FORD6,F,RSE,HES,2153
2019,EL,FORD6,F,RSE,HES,1985
2021,EL,FORD6,F,RSE,HES,2045
2022,EL,FORD6,F,RSE,HES,2365
2000,ES,FORD6,F,RSE,HES,2659
2001,ES,FORD6,F,RSE,HES,2739
2002,ES,FORD6,F,RSE,HES,2973
2003,ES,FORD6,F,RSE,HES,6274
2004,ES,FORD6,F,RSE,HES,7520
2005,ES,FORD6,F,RSE,HES,7107
2006,ES,FORD6,F,RSE,HES,6865
2007,ES,FORD6,F,RSE,HES,7328
2008,ES,FORD6,F,RSE,HES,7333
2009,ES,FORD6,F,RSE,HES,7772
2010,ES,FORD6,F,RSE,HES,7925
2011,ES,FORD6,F,RSE,HES,7815
2012,ES,FORD6,F,RSE,HES,7879
2013,ES,FORD6,F,RSE,HES,7281
2014,ES,FORD6,F,RSE,HES,7135
2015,ES,FORD6,F,RSE,HES,7083
2016,ES,FORD6,F,RSE,HES,7090
2017,ES,FORD6,F,RSE,HES,7117
2018,ES,FORD6,F,RSE,HES,7573
2019,ES,FORD6,F,RSE,HES,7660
2020,ES,FORD6,F,RSE,HES,7858
2021,ES,FORD6,F,RSE,HES,7960
2022,ES,FORD6,F,RSE,HES,8366
2002,HR,FORD6,F,RSE,HES,197
2003,HR,FORD6,F,RSE,HES,245
2004,HR,FORD6,F,RSE,HES,372
2005,HR,FORD6,F,RSE,HES,439
2006,HR,FORD6,F,RSE,HES,478
2007,HR,FORD6,F,RSE,HES,564
2008,HR,FORD6,F,RSE,HES,567
2009,HR,FORD6,F,RSE,HES,624
2010,HR,FORD6,F,RSE,HES,483
2011,HR,FORD6,F,RSE,HES,333
2012,HR,FORD6,F,RSE,HES,415
2013,HR,FORD6,F,RSE,HES,281
2014,HR,FORD6,F,RSE,HES,316
2015,HR,FORD6,F,RSE,HES,268
2016,HR,FORD6,F,RSE,HES,628
2017,HR,FORD6,F,RSE,HES,849
2018,HR,FORD6,F,RSE,HES,611
2019,HR,FORD6,F,RSE,HES,714
2020,HR,FORD6,F,RSE,HES,782
2021,HR,FORD6,F,RSE,HES,744
2022,HR,FORD6,F,RSE,HES,760
2005,IT,FORD6,F,RSE,HES,5311
2006,IT,FORD6,F,RSE,HES,5081
2007,IT,FORD6,F,RSE,HES,5152
2008,IT,FORD6,F,RSE,HES,5871
2009,IT,FORD6,F,RSE,HES,6301
2010,IT,FORD6,F,RSE,HES,5970
2011,IT,FORD6,F,RSE,HES,5818
2012,IT,FORD6,F,RSE,HES,5941
2013,IT,FORD6,F,RSE,HES,6041
2014,IT,FORD6,F,RSE,HES,6169
2015,IT,FORD6,F,RSE,HES,6079
2016,IT,FORD6,F,RSE,HES,6224
2017,IT,FORD6,F,RSE,HES,4556
2018,IT,FORD6,F,RSE,HES,4529
2019,IT,FORD6,F,RSE,HES,4671
2020,IT,FORD6,F,RSE,HES,4710
2021,IT,FORD6,F,RSE,HES,4881
2022,IT,FORD6,F,RSE,HES,5267
2001,CY,FORD6,F,RSE,HES,23
2002,CY,FORD6,F,RSE,HES,35
2003,CY,FORD6,F,RSE,HES,43
2004,CY,FORD6,F,RSE,HES,58
2005,CY,FORD6,F,RSE,HES,56
2006,CY,FORD6,F,RSE,HES,56
2007,CY,FORD6,F,RSE,HES,55
2008,CY,FORD6,F,RSE,HES,55
2009,CY,FORD6,F,RSE,HES,56
2010,CY,FORD6,F,RSE,HES,70
2011,CY,FORD6,F,RSE,HES,90
2012,CY,FORD6,F,RSE,HES,101
2013,CY,FORD6,F,RSE,HES,120
2014,CY,FORD6,F,RSE,HES,109
2015,CY,FORD6,F,RSE,HES,110
2016,CY,FORD6,F,RSE,HES,107
2017,CY,FORD6,F,RSE,HES,80
2018,CY,FORD6,F,RSE,HES,78
2019,CY,FORD6,F,RSE,HES,79
2020,CY,FORD6,F,RSE,HES,81
2021,CY,FORD6,F,RSE,HES,83
2003,LV,FORD6,F,RSE,HES,567
2004,LV,FORD6,F,RSE,HES,575
2005,LV,FORD6,F,RSE,HES,729
2006,LV,FORD6,F,RSE,HES,611
2007,LV,FORD6,F,RSE,HES,631
2008,LV,FORD6,F,RSE,HES,646
2009,LV,FORD6,F,RSE,HES,609
2010,LV,FORD6,F,RSE,HES,497
2011,LV,FORD6,F,RSE,HES,538
2012,LV,FORD6,F,RSE,HES,560
2013,LV,FORD6,F,RSE,HES,551
2014,LV,FORD6,F,RSE,HES,517
2015,LV,FORD6,F,RSE,HES,520
2016,LV,FORD6,F,RSE,HES,440
2017,LV,FORD6,F,RSE,HES,400
2018,LV,FORD6,F,RSE,HES,399
2019,LV,FORD6,F,RSE,HES,406
2020,LV,FORD6,F,RSE,HES,514
2021,LV,FORD6,F,RSE,HES,593
2022,LV,FORD6,F,RSE,HES,512
2003,LT,FORD6,F,RSE,HES,888
2005,LT,FORD6,F,RSE,HES,1299
2006,LT,FORD6,F,RSE,HES,1260
2007,LT,FORD6,F,RSE,HES,1446
2008,LT,FORD6,F,RSE,HES,1504
2009,LT,FORD6,F,RSE,HES,1568
2010,LT,FORD6,F,RSE,HES,1536
2011,LT,FORD6,F,RSE,HES,1680
2012,LT,FORD6,F,RSE,HES,1496
2013,LT,FORD6,F,RSE,HES,1556
2014,LT,FORD6,F,RSE,HES,1500
2015,LT,FORD6,F,RSE,HES,1393
2016,LT,FORD6,F,RSE,HES,1404
2017,LT,FORD6,F,RSE,HES,1269
2018,LT,FORD6,F,RSE,HES,1093
2019,LT,FORD6,F,RSE,HES,1078
2020,LT,FORD6,F,RSE,HES,984
2021,LT,FORD6,F,RSE,HES,958
2022,LT,FORD6,F,RSE,HES,962
2005,LU,FORD6,F,RSE,HES,11
2008,LU,FORD6,F,RSE,HES,20
2009,LU,FORD6,F,RSE,HES,61
2010,LU,FORD6,F,RSE,HES,40
2011,LU,FORD6,F,RSE,HES,41
2012,LU,FORD6,F,RSE,HES,43
2013,LU,FORD6,F,RSE,HES,50
2014,LU,FORD6,F,RSE,HES,64
2015,LU,FORD6,F,RSE,HES,67
2017,LU,FORD6,F,RSE,HES,96
2019,LU,FORD6,F,RSE,HES,94
2021,LU,FORD6,F,RSE,HES,109
2000,HU,FORD6,F,RSE,HES,2126
2001,HU,FORD6,F,RSE,HES,2189
2002,HU,FORD6,F,RSE,HES,2506
2003,HU,FORD6,F,RSE,HES,2591
2004,HU,FORD6,F,RSE,HES,1611
2005,HU,FORD6,F,RSE,HES,1644
2006,HU,FORD6,F,RSE,HES,1465
2007,HU,FORD6,F,RSE,HES,1418
2008,HU,FORD6,F,RSE,HES,1515
2009,HU,FORD6,F,RSE,HES,1432
2010,HU,FORD6,F,RSE,HES,1378
2011,HU,FORD6,F,RSE,HES,1217
2012,HU,FORD6,F,RSE,HES,1171
2013,HU,FORD6,F,RSE,HES,1175
2014,HU,FORD6,F,RSE,HES,1333
2015,HU,FORD6,F,RSE,HES,1248
2016,HU,FORD6,F,RSE,HES,1313
2017,HU,FORD6,F,RSE,HES,1457
2018,HU,FORD6,F,RSE,HES,1654
2019,HU,FORD6,F,RSE,HES,1653
2020,HU,FORD6,F,RSE,HES,1653
2021,HU,FORD6,F,RSE,HES,1759
2022,HU,FORD6,F,RSE,HES,1593
2002,MT,FORD6,F,RSE,HES,15
2003,MT,FORD6,F,RSE,HES,16
2004,MT,FORD6,F,RSE,HES,19
2005,MT,FORD6,F,RSE,HES,26
2006,MT,FORD6,F,RSE,HES,23
2007,MT,FORD6,F,RSE,HES,25
2008,MT,FORD6,F,RSE,HES,28
2009,MT,FORD6,F,RSE,HES,21
2010,MT,FORD6,F,RSE,HES,30
2011,MT,FORD6,F,RSE,HES,28
2012,MT,FORD6,F,RSE,HES,33
2013,MT,FORD6,F,RSE,HES,37
2014,MT,FORD6,F,RSE,HES,38
2015,MT,FORD6,F,RSE,HES,47
2016,MT,FORD6,F,RSE,HES,43
2017,MT,FORD6,F,RSE,HES,46
2018,MT,FORD6,F,RSE,HES,47
2019,MT,FORD6,F,RSE,HES,50
2020,MT,FORD6,F,RSE,HES,58
2021,MT,FORD6,F,RSE,HES,54
2022,MT,FORD6,F,RSE,HES,62
2000,NL,FORD6,F,RSE,HES,535
2001,NL,FORD6,F,RSE,HES,562
2002,NL,FORD6,F,RSE,HES,571
2003,NL,FORD6,F,RSE,HES,642
2004,NL,FORD6,F,RSE,HES,706
2005,NL,FORD6,F,RSE,HES,702
2006,NL,FORD6,F,RSE,HES,712
2007,NL,FORD6,F,RSE,HES,713
2008,NL,FORD6,F,RSE,HES,757
2009,NL,FORD6,F,RSE,HES,798
2011,NL,FORD6,F,RSE,HES,1114
2012,NL,FORD6,F,RSE,HES,1186
2013,NL,FORD6,F,RSE,HES,1228
2014,NL,FORD6,F,RSE,HES,1264
2015,NL,FORD6,F,RSE,HES,1290
2016,NL,FORD6,F,RSE,HES,1376
2017,NL,FORD6,F,RSE,HES,1376
2018,NL,FORD6,F,RSE,HES,1400
2019,NL,FORD6,F,RSE,HES,1294
2020,NL,FORD6,F,RSE,HES,1370
2021,NL,FORD6,F,RSE,HES,1382
2022,NL,FORD6,F,RSE,HES,1434
2002,AT,FORD6,F,RSE,HES,1012
2004,AT,FORD6,F,RSE,HES,1193
2006,AT,FORD6,F,RSE,HES,1429
2007,AT,FORD6,F,RSE,HES,1656
2009,AT,FORD6,F,RSE,HES,1962
2011,AT,FORD6,F,RSE,HES,2161
2013,AT,FORD6,F,RSE,HES,2208
2015,AT,FORD6,F,RSE,HES,2477
2017,AT,FORD6,F,RSE,HES,2576
2019,AT,FORD6,F,RSE,HES,2768
2021,AT,FORD6,F,RSE,HES,2618
2000,PL,FORD6,F,RSE,HES,3366
2004,PL,FORD6,F,RSE,HES,4031
2005,PL,FORD6,F,RSE,HES,3875
2006,PL,FORD6,F,RSE,HES,3899
2007,PL,FORD6,F,RSE,HES,3527
2008,PL,FORD6,F,RSE,HES,4135
2010,PL,FORD6,F,RSE,HES,5529
2011,PL,FORD6,F,RSE,HES,5308
2012,PL,FORD6,F,RSE,HES,5536
2013,PL,FORD6,F,RSE,HES,5602
2014,PL,FORD6,F,RSE,HES,5839
2015,PL,FORD6,F,RSE,HES,5885
